SSBD:database ID,Project Name,Dataset,Title,Organism,Contact,Organization,Biological Imaging Method,Paper Information,Paper DOI,Dataset License,File Path,Thumbnail,image_webclient_url
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_131,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123319/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123319/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3789
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_132,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123321/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123321/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3790
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_133,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123323/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123323/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3791
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_134,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123325/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123325/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3792
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_135,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123327/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123327/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3793
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_136,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123329/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123329/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3794
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_137,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123331/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123331/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3795
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_138,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123333/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123333/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3796
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_139,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123335/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123335/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3797
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_14,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123085/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123085/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3672
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_140,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123337/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123337/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3798
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_141,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123339/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123339/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3799
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_142,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123341/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123341/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3800
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_143,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123343/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123343/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3801
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_144,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123345/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123345/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3802
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_145,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123347/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123347/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3803
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_146,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123349/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123349/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3804
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_147,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123351/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123351/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3805
